CUSTOMER,FLAG,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
C1,0,427,355,429,305,435,427,355,429,435,478,429,435
C2,0,331,297,237,326,317,331,297,237,326,317,237,326
C3,0,202,176,220,215,188,202,223,223,222,237,223,222
C4,0,266,225,234,254,224,211,196,258,260,269,258,260
C5,0,292,235,320,371,319,292,235,320,371,319,320,371
C6,0,326,408,206,254,318,326,408,324,291,318,324,291
C7,0,323,303,343,376,425,323,303,343,376,425,343,376
C8,0,181,209,237,258,212,181,209,221,224,228,221,224
C9,0,146,155,173,155,156,146,155,173,155,170,173,155
C10,0,180,117,135,114,122,180,200,186,204,181,186,204
C11,0,155,164,160,106,176,148,158,160,186,176,160,186
C12,0,154,106,131,89,109,112,106,131,157,189,131,157
C13,0,239,239,205,205,257,239,239,205,205,257,205,205
C14,0,606,589,606,589,531,606,589,606,589,531,606,589
C15,0,17,17,17,22,17,45,18,17,17,48,17,17
C16,0,90,18,103,18,103,90,18,103,18,105,103,18
C17,0,185,24,99,101,168,185,124,99,121,115,99,121
C18,0,37,71,21,70,66,37,71,21,77,75,21,77
C19,0,19,19,115,58,29,19,19,115,58,29,115,58
C20,0,1,32,145,26,38,200,179,222,126,138,222,126
C21,0,47,23,33,24,44,47,23,33,24,44,33,24
C22,0,246,250,180,201,190,246,195,180,189,200,180,189
C23,0,56,76,56,147,113,24,21,26,30,35,26,30
C24,0,66,131,74,54,43,41,43,74,68,76,74,68
C25,0,88,81,90,81,77,79,81,90,81,99,90,81
C26,0,17,6,49,63,61,17,6,49,63,61,49,63
C27,0,169,179,63,209,272,169,179,63,268,272,63,268
C28,0,458,444,503,154,493,489,472,503,488,493,503,488
C29,0,90,88,84,133,128,101,109,84,133,128,84,133
C30,0,40,42,48,48,44,45,46,48,52,50,48,52
C31,0,30,28,32,29,36,36,44,40,40,44,40,40
C32,0,99,105,45,33,58,99,105,109,113,121,109,113
C33,0,10,9,9,7,15,10,9,9,7,15,9,7
C34,0,36,60,65,68,53,33,46,45,20,0,45,20
C35,0,37,33,48,43,30,60,64,67,15,50,67,15
C36,0,30,18,20,15,35,35,36,25,30,16,25,30
C37,0,40,46,53,55,83,54,63,66,71,69,66,71
C38,0,349,321,291,276,332,349,321,291,276,332,291,276
C39,0,119,165,192,180,135,119,185,135,153,194,135,153
C40,0,170,223,248,238,199,170,194,126,133,204,126,133
C41,0,162,146,176,181,157,162,176,171,170,160,171,170
C42,0,62,78,73,80,77,62,78,73,80,77,73,80
C43,0,40,36,65,70,68,30,45,68,70,72,68,70
C44,0,129,127,134,122,112,129,136,167,153,177,167,153
C45,0,103,199,217,232,197,103,119,129,99,114,129,99
C46,0,122,155,125,114,90,122,155,125,114,90,125,114
C47,0,77,339,368,318,342,77,48,105,75,49,105,75
C48,0,104,52,98,38,77,104,88,52,98,104,52,98
C49,0,115,142,128,142,80,115,80,128,142,148,128,142
C50,0,78,80,89,62,72,78,76,86,81,84,86,81
C51,0,111,87,92,90,72,111,112,98,123,117,98,123
C52,0,130,102,81,97,77,130,116,133,106,134,133,106
C53,0,26,29,30,36,99,78,82,86,36,99,86,36
C54,0,104,115,109,104,96,104,96,109,104,121,109,104
C55,0,115,68,83,273,259,102,120,136,135,141,136,135
C56,0,32,35,34,35,32,35,36,34,35,38,34,35
C57,0,166,169,187,192,185,175,155,155,199,201,155,199
C58,0,66,68,61,59,53,66,68,59,62,53,59,62
C59,0,454,422,463,509,465,498,536,539,581,665,539,581
C60,0,57,49,60,62,60,57,49,60,62,60,60,62
C61,0,121,106,118,120,112,121,106,136,132,138,136,132
C62,0,14,17,12,15,10,14,17,12,18,22,12,18
C63,0,171,168,164,88,115,129,96,138,144,144,138,144
C64,0,102,78,91,107,111,102,78,91,107,111,91,107
C65,0,68,68,82,78,21,68,90,33,20,98,33,20
C66,0,408,436,411,425,451,408,436,453,439,460,453,439
C67,0,252,141,185,127,200,252,141,185,127,205,185,127
C68,0,75,60,84,111,224,106,158,69,69,80,69,69
C69,0,86,75,86,109,109,101,114,116,123,125,116,123
C70,0,54,50,64,76,78,54,50,64,76,78,64,76
C71,0,44,57,36,48,51,44,57,61,65,68,61,65
C72,0,53,54,47,35,47,53,54,47,35,47,47,35
C73,0,102,119,129,135,125,100,119,129,118,120,129,118
C74,0,23,24,24,23,23,22,24,32,28,35,32,28
C75,0,38,45,52,38,42,38,45,48,52,59,48,52
C76,0,49,37,38,18,45,49,37,38,18,51,38,18
C77,0,83,94,82,43,75,83,94,82,43,75,82,43
C78,0,110,136,130,143,157,142,135,132,139,174,132,139
C79,0,237,234,246,285,248,266,397,290,311,303,290,311
C80,0,565,579,607,518,532,565,579,607,518,532,607,518
C81,0,266,286,307,296,244,266,286,289,271,253,289,271
C82,0,26,28,26,24,20,26,28,26,24,20,26,24
C83,0,64,58,64,25,82,64,58,64,25,82,64,25
C84,0,67,52,56,88,92,89,67,56,88,92,56,88
C85,0,37,43,47,53,50,37,43,47,53,50,47,53
C86,0,18,15,19,10,82,18,15,19,10,82,19,10
C87,0,568,578,611,661,501,796,886,931,988,1056,931,988
C88,0,60,56,113,49,135,60,43,113,33,135,113,33
C89,0,50,46,80,79,55,65,71,65,80,89,65,80
C90,0,45,104,74,58,81,45,104,74,58,81,74,58
C91,0,42,50,66,64,59,60,58,63,70,65,63,70
C92,0,49,88,84,53,40,49,36,54,66,56,54,66
C93,0,25,28,18,35,30,25,26,17,22,30,17,22
C94,0,55,61,69,105,67,55,58,81,61,80,81,61
C95,0,224,144,161,197,213,114,144,161,197,213,161,197
C96,0,75,84,85,70,91,75,84,85,90,93,85,90
C97,0,166,98,97,60,117,166,175,211,220,225,211,220
C98,0,68,53,56,56,102,68,69,98,100,120,98,100
C99,0,60,72,73,79,68,60,88,77,85,88,77,85
C100,0,274,296,332,328,360,274,296,332,328,360,332,328
C101,0,54,41,85,76,81,54,41,85,76,81,85,76
C102,0,296,225,290,312,279,296,309,334,328,329,334,328
C103,0,180,184,198,234,199,200,184,198,234,199,198,234
C104,0,68,76,66,69,72,68,76,66,69,72,66,69
C105,0,25,27,25,30,103,25,27,25,30,103,25,30
C106,0,168,180,185,191,178,180,191,175,201,196,175,201
C107,0,358,298,325,324,337,358,298,325,324,337,325,324
C108,0,251,251,291,343,279,281,315,232,343,386,232,343
C109,0,54,89,92,66,71,54,89,92,122,71,92,122
C110,0,374,175,250,255,190,374,175,185,215,300,185,215
C111,0,82,81,85,88,82,82,81,85,88,85,85,88
C112,0,56,69,51,53,52,56,69,55,58,60,55,58
